14 168
720 1 6 0 1
720 1 6 0 1
720 1 6 0 1
720 1 6 0 1
720 1 6 0 1
720 2 1 1 1
720 2 1 1 1
720 2 1 1 1
720 2 1 1 1
720 2 1 1 1
720 2 1 1 1
720 2 1 1 1
720 2 1 1 1
720 2 1 1 1
0	0.000	0.000	0	0	0	0	0	0	0	720
1	-6.687	-5.561	3	30	0	0	1	0	0	1440
2	-1.258	-9.789	3	30	1	1	0	0	0	1440
3	7.778	-9.712	3	30	0	1	0	0	0	1440
4	-9.167	-9.739	3	30	0	1	0	0	0	1440
5	1.947	-8.061	3	30	0	1	0	0	0	1440
6	1.918	-6.050	3	30	1	1	0	0	0	1440
7	2.202	-1.090	3	30	1	1	0	0	0	1440
8	-9.395	3.014	3	30	1	1	0	0	0	1440
9	1.508	-0.054	3	30	0	1	0	0	0	1440
10	-6.987	7.943	3	30	0	1	0	0	0	1440
11	5.583	-1.925	3	30	0	1	0	0	0	1440
12	-4.513	-2.372	3	30	0	1	0	0	0	1440
13	-4.081	-3.092	3	30	1	1	0	0	0	1440
14	2.711	-2.418	3	30	0	1	0	0	0	1440
15	8.144	3.096	3	30	1	1	0	0	0	1440
16	5.977	-5.960	3	30	0	1	0	0	0	1440
17	4.669	0.567	3	30	0	1	0	0	0	1440
18	-6.652	5.866	3	30	0	1	0	0	0	1440
19	-5.911	4.132	3	30	0	1	0	0	0	1440
20	-6.806	-3.351	3	30	1	1	0	0	0	1440
21	3.954	-8.897	3	30	0	1	0	0	0	1440
22	2.517	-1.568	3	30	0	1	0	0	0	1440
23	4.915	6.870	3	30	0	1	0	0	0	1440
24	-7.168	-0.487	3	30	0	1	0	0	0	1440
25	9.144	3.418	3	30	0	0	0	1	0	1440
26	6.610	0.458	3	30	1	0	1	0	0	1440
27	2.639	1.443	3	30	0	0	1	0	0	1440
28	2.355	2.876	3	30	0	1	0	0	0	1440
29	1.675	-3.536	3	30	0	1	0	0	0	1440
30	-7.958	-3.078	3	30	1	1	0	0	0	1440
31	-7.580	-9.246	3	30	1	0	0	1	0	1440
